Kod,Tresc
Stworz pusta macierz,"my_matrix <- matrix(nrow = 0, ncol = 0)
print(my_matrix)  "
"Macierz, która jako wartość przyjmuje wektor x","x <- c(1, 2, 3, 4, 5)
my_matrix <- matrix(x, nrow = length(x), ncol = 1, byrow = TRUE)
print(my_matrix)"
Macierz jako wektor + definiowanie nazw macierzy,"my_vector <- c(1, 2, 3, 4, 5)
my_matrix <- matrix(my_vector, nrow = length(my_vector), ncol = 1, byrow = TRUE)
colnames(my_matrix) <- ""my_column""
rownames(my_matrix) <- c(""row1"", ""row2"", ""row3"", ""row4"", ""row5"")"
dostep do elementu w 3 kolumnie i 2 wierszu; tylko 3 wierszu i tylko 4 kolumnie danej macierzy.,"my_matrix <- matrix(1:12, nrow = 3, ncol = 4, byrow = TRUE)

print(my_matrix) 
my_element <- my_matrix[2, 3]
print(my_element) 
my_element <- my_matrix[3,]
print(my_element)
my_element <- my_matrix[,4]
print(my_element)"
"Napisz program tworzacy dwie macierze 2x3. Dodawaj, odejmij, pomnoz i podziel macierze.","matrix1 <- matrix(1:6, nrow = 2, ncol = 3, byrow = TRUE)
matrix2 <- matrix(7:12, nrow = 2, ncol = 3, byrow = TRUE)

print(matrix1) 
print(matrix2) 
matrix_sum <- matrix1 + matrix2
matrix_difference <- matrix1 - matrix2
matrix_product <- matrix1 * matrix2
matrix_quotient <- matrix1 / matrix2"
Napisz program tworzacy macierz z listy podanych wektorow.,"my_matrix <- cbind(my_list)
print(my_matrix) 
my_matrix <- rbind(my_list)
print(my_matrix) "
"Napisz program, ktory wyodrebni podmacierz, ktorej wiersze maja wartosc kolumny > 7 z danej macierzy.","matrix = matrix(1:15, nrow = 3, ncol = 5)"
 Napisz program konwertujacy dana macierz do listy wektorow kolumnowych.,"matrix <- matrix(1:9, nrow = 3, ncol = 3)
matrix_as_list <- apply(matrix, MARGIN = 2, as.list)
matrix_as_list"
"Napisz program, ktory znajdzie indeks wierszy i kolumn o wartości maksymalnej i minimalnej w danej macierzy.","matrix <- matrix(1:9, nrow = 3, ncol = 3)
max_indices <- which(matrix == max(matrix), arr.ind = TRUE)
max_indices
matrix <- matrix(1:9, nrow = 3, ncol = 3)
extremes_indices <- which(matrix == extremes(matrix), arr.ind = TRUE)
extremes_indices"
"Napisz program, ktory obraca dana macierz o 90 stopni zgodnie z ruchem wskazowek zegara.","matrix = matrix(1:9, nrow = 3, ncol = 3)
matrix
rotated_matrix = t(matrix)[, ncol(matrix):1]
rotated_matrix"
Napisz program konwertujacy dana macierz na tablice jednowymiarowa.,"matrix_to_array <- function(matrix) {
  array <- unlist(matrix)
  return(array)
}
matrix = matrix(1:9, nrow = 3, ncol = 3)
array = matrix_to_array(matrix)
print(array)"
Napisz program tworzacy trojwymiarowa tablice 24 elementow za pomoca funkcji dim().,"v =  sample(1:5,24,replace = TRUE)
dim(v) = c(3,2,4)
print(v)"
apisz program tworzacy dwuwymiarowa tablice 5x3 sekwencji parzystych liczb calkowitych wiekszych niz 50.,"arr <- array(seq(from = 50, length.out = 15, by = 2), c(5, 3))
print(arr)"
"Stworz macierz o rozmiarze ""30x12"".
# b) Poczatkowa wartosc generatora liczb pseudolosowych powinna zostac ustalona na 222.
# c) Pierwsza kolumna powinna zawierac 30 unikalnych wartosci losowych z wektora ""1:30"".
# d) Ostatnia kolumna powinna zawierac 30 nieunikalnych wartosci losowych z wektora ""1:3"".
# e) Pozostale kolumny powinny zawierac wartosci losowe pochodzace z rozkladu rownomiernego ""runif()"".","set.seed(222)

matrix = matrix(nrow = 30, ncol = 12)
matrix[, 1] = sample(1:30, 30, replace = FALSE)
matrix[, 12] = sample(1:3, 30, replace = TRUE)
for (i in 2:(ncol(matrix) - 1)) {
  matrix[, i] = runif(nrow(matrix))
}

matrix"
